,e1,ev,p,q,e
312,12.840635097441435,-2.662094707675542,109.34880126265735,148.6164037879716,0.7278661493604733
313,12.882427665304766,-2.6687170040855506,109.32336225928852,148.5400867778651,0.7279776066790724
314,12.924227992478542,-2.6753160225642136,109.29801863295901,148.46405589887658,0.7280886722157806
315,12.96603605294145,-2.681891841175499,109.27277012063516,148.388310361905,0.7281993472844622
316,13.007851820727351,-2.688444537817784,109.24761645668627,148.31284937005836,0.728309633196195
317,13.049675269926064,-2.694974190221649,109.2225573729956,148.23767211898632,0.7284195312592323
318,13.091506374684034,-2.7014808759477393,109.19759259906822,148.16277779720417,0.7285290427789676
319,13.133345109205042,-2.7079646723847137,109.17272186213599,148.0881655864075,0.7286381690578994
320,13.175191447750858,-2.7144256567472573,109.14794488725963,148.01383466177842,0.7287469113955983
321,13.217045364641889,-2.7208639060741686,109.12326139742791,147.93978419228327,0.7288552710886748
322,13.258906834257772,-2.727279497226515,109.09867111365425,147.86601334096227,0.7289632494307478
323,13.300775831037992,-2.733672506885857,109.07417375507048,147.79252126521095,0.729070847712415
324,13.342652329482432,-2.740043011552538,109.04976903901812,147.7193071170539,0.7291780672212245
325,13.384536304151931,-2.746391087544037,109.02545668113711,147.6463700434109,0.729284909241646
326,13.426427729668813,-2.7527168109933853,109.00123639545203,147.57370918635567,0.7293913750550455
327,13.468326580717394,-2.7590202578476433,108.97710789445588,147.50132368336725,0.7294974659396586
328,13.510232832044464,-2.765301503866436,108.95307088919164,147.42921266757452,0.7296031831705663
329,13.552146458459758,-2.771560624620551,108.92912508933141,147.35737526799386,0.7297085280196713
330,13.594067434836413,-2.777797695490582,108.90527020325344,147.28581060975995,0.7298135017556756
331,13.635995736111395,-2.7840127916656425,108.88150593811685,147.2145178143502,0.729918105644058
332,13.677931337285901,-2.7902059881421177,108.85783199993439,147.1434959998028,0.7300223409470539
333,13.71987421342578,-2.7963773597224817,108.83424809364303,147.07274428092873,0.7301262089236347
334,13.761824339661889,-2.8025269810141538,108.81075392317257,147.00226176951736,0.7302297108294893
335,13.803781691190467,-2.8086549264284133,108.78734919151235,146.93204757453668,0.7303328479170051
336,13.845746243273485,-2.814761270179359,108.7640336007759,146.86210080232735,0.7304356214352512
337,13.887717971238967,-2.8208460862829132,108.74080685226396,146.79242055679154,0.7305380326299609
338,13.929696850481314,-2.826909448555876,108.7176686465255,146.72300593957615,0.7306400827435163
339,13.971682856461598,-2.8329514306150214,108.69461868341703,146.65385605025074,0.7307417730149331
340,14.013675964707858,-2.8389721058762367,108.67165666216027,146.58496998648044,0.7308431046798458
341,14.05567615081537,-2.8449715475537047,108.64878228139801,146.51634684419366,0.730944078970494
342,14.097683390446894,-2.8509498286591275,108.62599523924847,146.447985717745,0.7310446971157094
343,14.139697659332938,-2.85690702200099,108.60329523335798,146.37988570007357,0.7311449603409037
344,14.18171893327198,-2.8628432001838613,108.5806819609522,146.31204588285624,0.7312448698680565
345,14.22374718813069,-2.8687584356077345,108.55815511888572,146.2444653566568,0.731344426915704
346,14.265782399844133,-2.8746528004674063,108.53571440369029,146.1771432110705,0.7314436326989292
347,14.307824544415974,-2.8805263667518872,108.51335951162157,146.11007853486433,0.7315424884293512
348,14.34987359791865,-2.886379206243851,108.49109013870451,146.04327041611316,0.7316409953151166
