e1,ev,p,q,e
5.21,-0.978,119.8966667,172.76,0.6964304
5.313,-1.009,120.13,173.1,0.6969512
5.414,-1.039,120.24,173.43,0.6974552
5.517,-1.069,120.47,173.76,0.6979592
5.618,-1.1,120.7733333,174.28,0.69848
5.718,-1.13,120.82,174.42,0.698984
5.822,-1.16,121.0566667,175.13,0.699488
5.923,-1.191,121.0366667,175.46,0.7000088
6.024,-1.221,121.2133333,175.6,0.7005128
6.126,-1.25,121.5033333,176.11,0.701
6.228,-1.281,121.67,176.25,0.7015208
6.33,-1.311,121.53,176.19,0.7020248
6.434,-1.342,121.7566667,176.51,0.7025456
6.534,-1.372,122.0433333,176.65,0.7030496
6.638,-1.403,121.9066667,176.96,0.7035704
6.741,-1.433,121.9466667,177.08,0.7040744
6.843,-1.464,121.87,177.21,0.7045952
6.944,-1.494,122.1533333,177.34,0.7050992
7.046,-1.524,122.38,177.66,0.7056032
7.147,-1.554,122.3,177.78,0.7061072
7.249,-1.583,122.34,177.54,0.7065944
7.351,-1.613,122.2,177.48,0.7070984
7.453,-1.642,122.2366667,177.23,0.7075856
7.555,-1.671,122.2166667,177.17,0.7080728
7.656,-1.701,122.2,177.48,0.7085768
7.759,-1.73,122.3,177.42,0.709064
7.863,-1.759,122.4633333,177.16,0.7095512
7.963,-1.786,122.4466667,177.11,0.7100048
8.065,-1.813,122.1766667,177.05,0.7104584
8.166,-1.841,122.28,177,0.7109288
8.269,-1.869,122.3833333,176.92,0.7113992
8.372,-1.897,122.3633333,176.86,0.7118696
8.474,-1.925,122.2766667,176.99,0.71234
8.576,-1.953,122.2566667,176.93,0.7128104
8.68,-1.98,122.36,176.85,0.713264
8.783,-2.008,122.46,177.15,0.7137344
8.886,-2.036,122.62,177.27,0.7142048
8.986,-2.063,122.4166667,176.66,0.7146584
9.089,-2.091,122.3366667,176.78,0.7151288
9.192,-2.119,122.4933333,176.89,0.7155992
9.293,-2.146,122.4133333,177.01,0.7160528
9.395,-2.174,122.39,176.58,0.7165232
9.498,-2.202,122.3066667,176.33,0.7169936
9.601,-2.228,122.3466667,176.45,0.7174304
9.702,-2.254,122.2666667,176.57,0.7178672
9.803,-2.279,122.3666667,176.15,0.7182872
9.904,-2.305,122.4066667,176.27,0.718724
10.007,-2.331,122.2633333,176.2,0.7191608
10.109,-2.357,122.4833333,176.14,0.7195976
10.211,-2.383,122.34,176.07,0.7200344
10.312,-2.407,122.26,175.83,0.7204376
10.414,-2.433,122.2966667,175.94,0.7208744
10.517,-2.458,122.3966667,175.88,0.7212944
10.619,-2.483,122.3733333,175.81,0.7217144
10.72,-2.507,122.3566667,175.4,0.7221176
10.822,-2.532,122.33,175.68,0.7225376
10.924,-2.557,122.25,175.44,0.7229576
11.027,-2.582,122.2266667,175.37,0.7233776
11.13,-2.606,122.2066667,175.31,0.7237808
11.232,-2.63,122.1233333,175.06,0.724184
11.335,-2.655,122.22,174.99,0.724604
11.438,-2.679,122.14,174.75,0.7250072
11.541,-2.702,122.06,174.51,0.7253936
11.644,-2.725,122.1,174.27,0.72578
11.745,-2.749,121.9,174.03,0.7261832
11.848,-2.771,122.0566667,174.14,0.7265528
11.949,-2.793,121.74,173.55,0.7269224
12.052,-2.816,121.85,173.13,0.7273088
12.153,-2.837,121.76,173.25,0.7276616
12.256,-2.86,121.68,173.01,0.728048
12.358,-2.881,121.4833333,172.42,0.7284008
12.459,-2.903,121.4633333,172.36,0.7287704
12.562,-2.924,121.3833333,172.12,0.7291232
12.664,-2.946,121.3066667,171.89,0.7294928
12.766,-2.968,121.3533333,171.64,0.7298624
12.868,-2.99,121.0333333,171.07,0.730232
12.971,-3.012,120.9533333,170.83,0.7306016
13.072,-3.033,121.0466667,171.11,0.7309544
13.175,-3.054,120.98,170.52,0.7313072
13.276,-3.076,120.9033333,170.29,0.7316768
13.377,-3.097,120.6333333,170.23,0.7320296
13.477,-3.118,120.7466667,169.82,0.7323824
13.578,-3.139,120.7266667,169.76,0.7327352
13.68,-3.16,120.7066667,169.7,0.733088
13.781,-3.18,120.5133333,169.12,0.733424
13.884,-3.2,120.31,168.9,0.73376
13.988,-3.22,120.3566667,168.65,0.734096
14.088,-3.239,120.4033333,168.43,0.7344152
14.191,-3.259,120.2033333,168.19,0.7347512
14.293,-3.279,120.3033333,168.13,0.7350872
14.395,-3.298,120.05,167.73,0.7354064
14.498,-3.317,119.6766667,167,0.7357256
14.599,-3.335,119.7833333,166.93,0.736028
14.703,-3.354,119.7633333,166.87,0.7363472
14.805,-3.373,119.58,165.96,0.7366664
14.906,-3.39,119.6833333,165.91,0.736952
15.009,-3.409,119.42,165.84,0.7372712
15.112,-3.427,119.2166667,165.62,0.7375736
15.214,-3.445,119.1566667,165.05,0.737876
15.315,-3.463,119.2033333,164.83,0.7381784
15.417,-3.481,118.95,164.43,0.7384808
15.521,-3.499,118.8166667,164.03,0.7387832
15.622,-3.516,118.69,163.65,0.7390688
15.724,-3.533,118.43,163.26,0.7393544
